Feature,Importance
V14,0.26403547881938194
V10,0.09923621485190517
V4,0.0931601248129026
V17,0.09201984442735776
V3,0.08657389510061782
V12,0.07194264141322888
V16,0.042633710845377086
V7,0.03273875393878009
V2,0.023990703455178054
V9,0.020979560974377646
V11,0.01844685375446412
V21,0.011706488568814115
Amount,0.011639878804801081
V20,0.010716722888139147
V8,0.010696171438640599
V27,0.010454625576060613
V19,0.010325608170227912
V18,0.009569065194954998
V26,0.009357060897673755
V13,0.009002075439528126
V28,0.008393865985936218
V15,0.0074485924765625286
V5,0.007208917436281545
V1,0.007093779332853187
V22,0.006987370816292433
V25,0.005552884784421735
V6,0.0049563874296310005
V23,0.004523443370842784
Time,0.004449083611717409
V24,0.004160195383049662
